Global_channel	X	Y
0	25	62,50
1	25	54,17
2	25	45,83
3	25	37,50
4	25	29,17
5	25	20,83
6	25	12,50
7	25	4,17
8	15	95,83
9	15	87,50
10	15	79,17
11	15	70,83
12	15	62,50
13	15	54,17
14	15	45,83
15	15	37,50
16	15	29,17
17	15	20,83
18	15	12,50
19	15	4,17
20	5	95,83
21	5	87,50
22	5	79,17
23	5	70,83
24	5	62,50
25	5	54,17
26	5	45,83
27	5	37,50
28	5	29,17
29	5	20,83
30	5	12,50
31	5	4,17
32	25	70,83
33	25	79,17
34	25	87,50
35	25	95,83
36	35	4,17
37	35	12,50
38	35	20,83
39	35	29,17
40	35	37,50
41	35	45,83
42	35	54,17
43	35	62,50
44	35	70,83
45	35	79,17
46	35	87,50
47	35	95,83
48	45	4,17
49	45	12,50
50	45	20,83
51	45	29,17
52	45	37,50
53	45	45,83
54	45	54,17
55	45	62,50
56	45	70,83
57	45	79,17
58	45	87,50
59	45	95,83
60	55	4,17
61	55	12,50
62	55	20,83
63	55	29,17
64	75	95,83
65	75	87,50
66	75	79,17
67	75	70,83
68	75	62,50
69	75	54,17
70	75	45,83
71	75	37,50
72	75	29,17
73	75	20,83
74	75	12,50
75	75	4,17
76	65	95,83
77	65	87,50
78	65	79,17
79	65	70,83
80	65	62,50
81	65	54,17
82	65	45,83
83	65	37,50
84	65	29,17
85	65	20,83
86	65	12,50
87	65	4,17
88	55	95,83
89	55	87,50
90	55	79,17
91	55	70,83
92	55	62,50
93	55	54,17
94	55	45,83
95	55	37,50
96	85	4,17
97	85	12,50
98	85	20,83
99	85	29,17
100	85	37,50
101	85	45,83
102	85	54,17
103	85	62,50
104	85	70,83
105	85	79,17
106	85	87,50
107	85	95,83
108	95	4,17
109	95	12,50
110	95	20,83
111	95	29,17
112	95	37,50
113	95	45,83
114	95	54,17
115	95	62,50
116	95	70,83
117	95	79,17
118	95	87,50
119	95	95,83
