(Sampa-1)*32+Chn	X(mm)	Y(mm)
0	11.71875	5
1	12.109375	5
2	10.9375	5
3	11.328125	5
4	10.15625	5
5	10.546875	5
6	9.375	5
7	9.765625	5
8	8.59375	5
9	8.984375	5
10	7.8125	5
11	8.203125	5
12	7.03125	5
13	7.421875	5
14	6.25	5
15	6.640625	5
16	5.46875	5
17	5.859375	5
18	4.6875	5
19	5.078125	5
20	3.90625	5
21	4.296875	5
22	3.125	5
23	3.515625	5
24	2.34375	5
25	2.734375	5
26	1.5625	5
27	1.953125	5
28	0.78125	5
29	1.171875	5
30	0	5
31	0.390625	5
32	12.5	5
33	12.890625	5
34	13.28125	5
35	13.671875	5
36	14.0625	5
37	14.453125	5
38	14.84375	5
39	15.234375	5
40	15.625	5
41	16.015625	5
42	16.40625	5
43	16.796875	5
44	17.1875	5
45	17.578125	5
46	17.96875	5
47	18.359375	5
48	18.75	5
49	19.140625	5
50	19.53125	5
51	19.921875	5
52	20.3125	5
53	20.703125	5
54	21.09375	5
55	21.484375	5
56	21.875	5
57	22.265625	5
58	22.65625	5
59	23.046875	5
60	23.4375	5
61	23.828125	5
62	24.21875	5
63	24.609375	5
64	36.71875	5
65	37.109375	5
66	35.9375	5
67	36.328125	5
68	35.15625	5
69	35.546875	5
70	34.375	5
71	34.765625	5
72	33.59375	5
73	33.984375	5
74	32.8125	5
75	33.203125	5
76	32.03125	5
77	32.421875	5
78	31.25	5
79	31.640625	5
80	30.46875	5
81	30.859375	5
82	29.6875	5
83	30.078125	5
84	28.90625	5
85	29.296875	5
86	28.125	5
87	28.515625	5
88	27.34375	5
89	27.734375	5
90	26.5625	5
91	26.953125	5
92	25.78125	5
93	26.171875	5
94	25	5
95	25.390625	5
96	37.5	5
97	37.890625	5
98	38.28125	5
99	38.671875	5
100	39.0625	5
101	39.453125	5
102	39.84375	5
103	40.234375	5
104	40.625	5
105	41.015625	5
106	41.40625	5
107	41.796875	5
108	42.1875	5
109	42.578125	5
110	42.96875	5
111	43.359375	5
112	43.75	5
113	44.140625	5
114	44.53125	5
115	44.921875	5
116	45.3125	5
117	45.703125	5
118	46.09375	5
119	46.484375	5
120	46.875	5
121	47.265625	5
122	47.65625	5
123	48.046875	5
124	48.4375	5
125	48.828125	5
126	49.21875	5
127	49.609375	5
