Global_channel	X(mm)	Y(mm)
30	0	-1
31	0.390625	-1
28	0.78125	-1
29	1.171875	-1
26	1.5625	-1
27	1.953125	-1
24	2.34375	-1
25	2.734375	-1
22	3.125	-1
23	3.515625	-1
20	3.90625	-1
21	4.296875	-1
18	4.6875	-1
19	5.078125	-1
16	5.46875	-1
17	5.859375	-1
14	6.25	-1
15	6.640625	-1
12	7.03125	-1
13	7.421875	-1
10	7.8125	-1
11	8.203125	-1
8	8.59375	-1
9	8.984375	-1
6	9.375	-1
7	9.765625	-1
4	10.15625	-1
5	10.546875	-1
2	10.9375	-1
3	11.328125	-1
0	11.71875	-1
1	12.109375	-1
32	12.5	-1
33	12.890625	-1
34	13.28125	-1
35	13.671875	-1
36	14.0625	-1
37	14.453125	-1
38	14.84375	-1
39	15.234375	-1
40	15.625	-1
41	16.015625	-1
42	16.40625	-1
43	16.796875	-1
44	17.1875	-1
45	17.578125	-1
46	17.96875	-1
47	18.359375	-1
48	18.75	-1
49	19.140625	-1
50	19.53125	-1
51	19.921875	-1
52	20.3125	-1
53	20.703125	-1
54	21.09375	-1
55	21.484375	-1
56	21.875	-1
57	22.265625	-1
58	22.65625	-1
59	23.046875	-1
60	23.4375	-1
61	23.828125	-1
62	24.21875	-1
63	24.609375	-1
94	25	-1
95	25.390625	-1
92	25.78125	-1
93	26.171875	-1
90	26.5625	-1
91	26.953125	-1
88	27.34375	-1
89	27.734375	-1
86	28.125	-1
87	28.515625	-1
84	28.90625	-1
85	29.296875	-1
82	29.6875	-1
83	30.078125	-1
80	30.46875	-1
81	30.859375	-1
78	31.25	-1
79	31.640625	-1
76	32.03125	-1
77	32.421875	-1
74	32.8125	-1
75	33.203125	-1
72	33.59375	-1
73	33.984375	-1
70	34.375	-1
71	34.765625	-1
68	35.15625	-1
69	35.546875	-1
66	35.9375	-1
67	36.328125	-1
64	36.71875	-1
65	37.109375	-1
96	37.5	-1
97	37.890625	-1
98	38.28125	-1
99	38.671875	-1
100	39.0625	-1
101	39.453125	-1
102	39.84375	-1
103	40.234375	-1
104	40.625	-1
105	41.015625	-1
106	41.40625	-1
107	41.796875	-1
108	42.1875	-1
109	42.578125	-1
110	42.96875	-1
111	43.359375	-1
112	43.75	-1
113	44.140625	-1
114	44.53125	-1
115	44.921875	-1
116	45.3125	-1
117	45.703125	-1
118	46.09375	-1
119	46.484375	-1
120	46.875	-1
121	47.265625	-1
122	47.65625	-1
123	48.046875	-1
124	48.4375	-1
125	48.828125	-1
126	49.21875	-1
127	49.609375	-1
158	50	-1
159	50.390625	-1
156	50.78125	-1
157	51.171875	-1
154	51.5625	-1
155	51.953125	-1
152	52.34375	-1
153	52.734375	-1
150	53.125	-1
151	53.515625	-1
148	53.90625	-1
149	54.296875	-1
146	54.6875	-1
147	55.078125	-1
144	55.46875	-1
145	55.859375	-1
142	56.25	-1
143	56.640625	-1
140	57.03125	-1
141	57.421875	-1
138	57.8125	-1
139	58.203125	-1
136	58.59375	-1
137	58.984375	-1
134	59.375	-1
135	59.765625	-1
132	60.15625	-1
